Time: 9.98, Blue Team Score: 1, Purple Team Score: 4
Time: 19.98, Blue Team Score: 5, Purple Team Score: 6
Time: 29.98, Blue Team Score: 6, Purple Team Score: 8
Time: 39.98, Blue Team Score: 8, Purple Team Score: 9
Time: 49.98, Blue Team Score: 10, Purple Team Score: 10
Time: 59.98, Blue Team Score: 13, Purple Team Score: 13
Time: 69.98, Blue Team Score: 13, Purple Team Score: 13
Time: 79.98, Blue Team Score: 14, Purple Team Score: 15
Time: 89.98, Blue Team Score: 16, Purple Team Score: 18
Time: 99.98, Blue Team Score: 18, Purple Team Score: 20
Time: 109.98, Blue Team Score: 0, Purple Team Score: 2
Time: 119.98, Blue Team Score: 2, Purple Team Score: 6
Time: 129.98, Blue Team Score: 4, Purple Team Score: 9
Time: 139.98, Blue Team Score: 7, Purple Team Score: 12
Time: 149.98, Blue Team Score: 9, Purple Team Score: 15
Time: 159.98, Blue Team Score: 12, Purple Team Score: 17
Time: 169.98, Blue Team Score: 14, Purple Team Score: 20
Time: 179.98, Blue Team Score: 1, Purple Team Score: 1
